GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Web App,net.trajano.app.internal,LoggingInterceptor,35,0,0,0,7,0,3,0,3,0
Web App,net.trajano.app.internal,AppApplication,3,0,0,0,1,0,1,0,1,0
Web App,net.trajano.app.internal,ObjectFactory,17,0,0,0,5,0,2,0,2,0
Web App,org.w3._2001.xmlschema,Adapter1,13,0,2,0,5,0,4,0,3,0
Web App,net.trajano.app,CdiResource,6,0,0,0,2,0,2,0,2,0
Web App,net.trajano.app,JpaAdder,28,0,0,0,8,0,2,0,2,0
Web App,net.trajano.app,PersistedBeans,8,41,0,2,1,12,1,6,1,5
Web App,net.trajano.app,WebSocketSessions,27,0,0,0,7,0,4,0,4,0
Web App,net.trajano.app,HelloServlet,55,0,0,0,6,0,2,0,2,0
Web App,net.trajano.app,SomeWeb,69,0,0,0,18,0,7,0,7,0
Web App,net.trajano.app,PersistedBean,35,34,0,0,7,10,6,6,6,6
Web App,net.trajano.app,BeanResource,0,17,0,0,0,5,0,2,0,2
Web App,net.trajano.app,JpaResource,42,0,0,0,10,0,4,0,4,0
Web App,net.trajano.app,Bean,10,15,0,0,2,5,2,3,2,3
Web App,net.trajano.app,EchoEndpoint,97,0,4,0,16,0,7,0,5,0
Web App,net.trajano.app.schema,MessageBean,17,0,0,0,7,0,5,0,5,0
Web App,net.trajano.app.schema,ObjectFactory,7,0,0,0,3,0,2,0,2,0
